ts_iso,seq,target_hz,dt_s,inst_hz,dx,dy,speed_counts,speed_counts_s,flow_heading_deg,error_state,error,quality_flag,clock_monotonic_s,clock_process_s
2026-04-21T16:29:53.258,0,12.000,0.000000,0.000,1,0,1.000,0.000,0.000,ok,,timing_lag,8589.048424,0.076881
2026-04-21T16:29:53.279,1,12.000,0.291140,3.435,1,0,1.000,3.435,0.000,ok,,timing_lag,8589.069555,0.077050
2026-04-21T16:29:53.311,2,12.000,0.021067,47.468,1,0,1.000,47.468,0.000,ok,,nominal,8589.100960,0.077153
2026-04-21T16:29:53.332,3,12.000,0.031401,31.846,1,1,1.414,45.038,45.000,ok,,nominal,8589.121997,0.077232
2026-04-21T16:29:53.353,4,12.000,0.021038,47.533,1,0,1.000,47.533,0.000,ok,,nominal,8589.143028,0.077304
2026-04-21T16:29:53.384,5,12.000,0.051702,19.342,1,0,1.000,19.342,0.000,ok,,nominal,8589.174030,0.077350
2026-04-21T16:29:53.467,6,12.000,0.083339,11.999,5,0,5.000,59.996,0.000,ok,,nominal,8589.257421,0.077453
2026-04-21T16:29:53.551,7,12.000,0.083327,12.001,4,0,4.000,48.004,0.000,ok,,nominal,8589.340718,0.077528
2026-04-21T16:29:53.634,8,12.000,0.083336,12.000,3,0,3.000,35.999,0.000,ok,,nominal,8589.424044,0.077586
2026-04-21T16:29:53.717,9,12.000,0.083331,12.000,4,1,4.123,49.479,14.036,ok,,nominal,8589.507363,0.077637
2026-04-21T16:29:53.801,10,12.000,0.083333,12.000,2,0,2.000,24.000,0.000,ok,,nominal,8589.590695,0.077687
2026-04-21T16:29:53.884,11,12.000,0.083336,12.000,2,-1,2.236,26.832,-26.565,ok,,nominal,8589.674050,0.077754
2026-04-21T16:29:53.967,12,12.000,0.083349,11.998,0,-2,2.000,23.996,-90.000,ok,,nominal,8589.757451,0.077894
2026-04-21T16:29:54.051,13,12.000,0.083317,12.002,2,-1,2.236,26.838,-26.565,ok,,nominal,8589.840711,0.077964
2026-04-21T16:29:54.134,14,12.000,0.083334,12.000,1,-3,3.162,37.947,-71.565,ok,,nominal,8589.924058,0.078038
2026-04-21T16:29:54.217,15,12.000,0.083336,12.000,1,-3,3.162,37.946,-71.565,ok,,nominal,8590.007413,0.078132
